Gene,Slope,P-value,FDR
PIK3CD,0.1352396271522224,0.0199179692031547,
PIK3CD-AS1,0.3013987871462267,0.012560144765967,
RP11-558F24.2,0.0196041233390225,0.8170680148394838,
PIK3CD-AS2,0.1844724110669321,0.0376449304266145,
CLSTN1,-0.1597461625654289,0.0136711144547408,
MZT1P1,0.0058727556019658,0.7546775816140416,
RP11-84A14.7,-0.0498139704646508,0.4037384890791815,
CTNNBIP1,-0.0614456283554727,0.0491584540482798,
LZIC,0.0748355700380156,0.0381018535854497,
RP11-84A14.4,-0.0356847659474261,0.6785732713881893,
NMNAT1,0.212353399998361,0.0273656362603017,
RN7SKP269,0.029236074909137,0.7206306149898821,
RP11-84A14.6,0.0941411632793321,0.1534972211539271,
MIR5697,0.0044206444048973,0.1603314696236163,
RBP7,0.1074712668758376,0.2592515822120894,
UBE4B,0.0632075627573213,0.0838256390947683,
RP11-496H15.2,0.0137074551751948,0.7264760538012365,
PGAM1P11,0.0564791035295502,0.3840029606302327,
RNU6-828P,0.0028411395668951,0.918421085925606,
KIF1B,0.2715904756457813,6.110001417599718e-05,
MIR1273D,-0.0177022952423371,0.0358473653748556,
RNU6-37P,0.1098376010053241,0.0431733444129502,
PGD,0.2164240336890399,0.0189753168617478,
RP4-736L20.3,-0.0834471194128933,0.0756820892991665,
CENPS,-0.0218554318817375,0.7432757400740259,
CORT,-0.1722736168655691,0.0677538639194625,
DFFA,-0.045566301638492,0.0812660658755761,
PEX14,-0.173846280419202,0.000283363685188,
RN7SL614P,-0.0456157389098485,0.4742832172853705,
CASZ1,-0.188014480814645,0.0009577820150531,
RP4-734G22.3,-0.3475819183384939,6.782952962779795e-05,
HSPE1P24,0.0005050858627811,0.9549442961511784,
C1orf127,-0.1616933341167999,0.1194346730812339,
CFL1P6,0.0073848977071231,0.8721538235235238,
TARDBP,-0.0115103203791838,0.5939089672311266,
MASP2,0.1888369594117678,0.0829635757633576,
RP4-635E18.8,0.1551896850188583,0.0480211178247128,
SRM,-0.0801560179891939,0.0824434307458718,
EXOSC10,-0.1206869991217045,0.0063112104750592,
RP4-635E18.7,-0.0841952392207073,0.2365843461674233,
RP4-635E18.6,-0.0560948691058057,0.502596385449008,
MTOR,-0.0332932922837152,0.2772735199776394,
MTOR-AS1,-0.0060473107931789,0.8913743578157844,
RNU6-537P,-0.0069964465713262,0.2998112632233289,
ANGPTL7,-0.0530177787860995,0.6558620079056294,
